id,id_produto,tipo,temperatura_ar,temperatura_processo,umidade_relativa,velocidade_rotacional,torque,desgaste_da_ferramenta,falha_predita,probabilidade_falha,FDF (Falha Desgaste Ferramenta)_predito,FDC (Falha Dissipacao Calor)_predito,FP (Falha Potencia)_predito,FTE (Falha Tensao Excessiva)_predito,FA (Falha Aleatoria)_predito
35290,L47501,L,297.8,308.4,90.0,1518,32.5,190,0.0,0.0036659539813438872,0.0,0.0,0.0,0.0,0.0
35291,L49858,L,299.8,309.6,90.0,1447,43.1,12,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35292,L51805,L,303.0,311.2,90.0,1511,45.7,184,0.0,0.01082467425985735,0.0,0.0,0.0,0.0,0.0
35293,M19809,M,303.8,312.7,90.0,1555,33.4,128,0.0,0.0026271053778877925,0.0,0.0,0.0,0.0,0.0
35294,L55508,L,298.6,309.5,90.0,1325,52.2,127,0.0,0.01731552232256349,0.0,0.0,0.0,0.0,0.0
35295,L50517,L,301.6,310.8,90.0,1564,34.1,150,0.0,0.003132141713375732,0.0,0.0,0.0,0.0,0.0
35296,M20449,M,302.5,311.9,90.0,1298,57.5,57,0.0,0.05790823469286794,0.0,0.0,0.0,0.0,0.0
35297,M15111,M,298.0,308.2,90.0,1466,42.6,2,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35298,L51153,L,302.3,311.4,90.0,1535,41.8,77,0.0,0.0038765898483593885,0.0,0.0,0.0,0.0,0.0
35299,M21490,M,301.6,310.5,90.0,1414,49.3,106,0.0,0.0033338147721802104,0.0,0.0,0.0,0.0,0.0
35300,M20407,M,302.3,311.7,90.0,1540,28.9,149,0.0,0.0038765898483593885,0.0,0.0,0.0,0.0,0.0
35301,M14895,M,298.8,309.2,90.0,1452,48.6,98,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35302,L55542,L,298.6,309.6,90.0,1353,62.5,9,0.0,0.045928407148420426,0.0,0.0,0.0,0.0,0.0
35303,L48693,L,298.1,308.7,90.0,1568,32.9,10,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35304,L56497,L,298.5,309.5,90.0,1480,38.1,160,0.0,0.0032289154749246124,0.0,0.0,0.0,0.0,0.0
35305,L47219,L,298.8,309.1,90.0,1350,52.5,111,0.0,0.012208796277826214,0.0,0.0,0.0,0.0,0.0
35306,L51999,L,303.6,312.2,90.0,1696,30.7,5,0.0,0.003795431153445445,0.0,0.0,0.0,0.0,0.0
35307,M18325,M,301.8,310.7,90.0,1383,45.7,44,0.0,0.006827910316755716,0.0,0.0,0.0,0.0,0.0
35308,L48940,L,298.1,307.5,90.0,1684,33.1,200,0.0,0.007251268591994752,0.0,0.0,0.0,0.0,0.0
35309,L49484,L,299.1,308.5,90.0,1455,39.8,145,0.0,0.003152875417304667,0.0,0.0,0.0,0.0,0.0
35310,L50903,L,302.3,311.2,90.0,1758,24.4,68,0.0,0.0038765898483593885,0.0,0.0,0.0,0.0,0.0
35311,L55464,L,298.8,310.6,90.0,1651,33.3,0,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35312,L52173,L,303.8,312.9,90.0,1819,23.7,16,0.0,0.0026271053778877925,0.0,0.0,0.0,0.0,0.0
35313,M22987,M,300.1,311.3,90.0,1650,33.8,38,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35314,M17892,M,300.6,309.8,90.0,1447,42.9,12,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35315,L55118,L,300.8,311.7,90.0,1681,31.3,221,0.0,0.04388902159927695,0.0,0.0,0.0,0.0,0.0
35316,M17899,M,300.3,309.5,90.0,1665,31.4,32,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35317,H39069,H,299.1,310.0,90.0,1431,49.5,205,0.0,0.02818030427820769,0.0,0.0,0.0,0.0,0.0
35318,M17405,M,299.2,309.0,90.0,1541,36.3,104,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35319,L49772,L,298.9,308.6,90.0,1539,45.4,4,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35320,L48368,L,297.3,308.4,90.0,1339,52.1,36,0.0,0.01281699443520848,0.0,0.0,0.0,0.0,0.0
35321,L55146,L,301.0,312.2,90.0,1602,35.9,67,0.0,0.002377553712123539,0.0,0.0,0.0,0.0,0.0
35322,L53257,L,300.9,310.7,90.0,1479,43.3,201,0.0,0.009803896132107913,0.0,0.0,0.0,0.0,0.0
35323,M14967,M,298.8,308.8,90.0,1497,46.8,72,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35324,L48495,L,299.0,310.3,90.0,1520,45.0,171,0.0,0.0037794765017349764,0.0,0.0,0.0,0.0,0.0
35325,L55367,L,299.6,310.9,90.0,1448,46.3,196,0.0,0.008164820805349967,0.0,0.0,0.0,0.0,0.0
35326,L49933,L,299.7,309.1,90.0,1715,27.8,192,0.0,0.0036659539813438872,0.0,0.0,0.0,0.0,0.0
35327,L56933,L,298.5,309.8,90.0,1593,35.1,203,0.0,0.007425416129685166,0.0,0.0,0.0,0.0,0.0
35328,M21091,M,301.3,311.0,90.0,1495,40.8,148,0.0,0.0032289154749246124,0.0,0.0,0.0,0.0,0.0
35329,M17736,M,300.5,309.3,90.0,1578,30.5,34,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35330,M20183,M,303.4,312.7,90.0,1399,48.4,34,0.0,0.0038230695248893717,0.0,0.0,0.0,0.0,0.0
35331,M15659,M,297.0,307.8,90.0,1579,34.1,94,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35332,H32984,H,301.8,310.6,90.0,1441,46.3,100,0.0,0.0034169258487532898,0.0,0.0,0.0,0.0,0.0
35333,L50074,L,300.7,309.6,90.0,1733,24.8,85,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35334,M17787,M,300.7,309.6,90.0,1421,49.8,165,0.0,0.003372969012438706,0.0,0.0,0.0,0.0,0.0
35335,L55358,L,299.7,311.2,90.0,1352,52.1,176,0.0,0.017355515331169087,0.0,0.0,0.0,0.0,0.0
35336,L48151,L,295.9,306.6,90.0,1557,41.1,113,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35337,L53867,L,301.7,311.0,90.0,1700,28.7,19,0.0,0.0027399451359920108,0.0,0.0,0.0,0.0,0.0
35338,M23435,M,297.6,308.3,90.0,1648,29.1,134,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35339,H31434,H,298.7,308.4,90.0,1560,33.3,53,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35340,M23914,M,297.3,308.4,90.0,1521,38.2,87,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35341,L48132,L,295.5,306.2,90.0,1448,48.9,65,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35342,M20219,M,303.3,312.6,90.0,1397,47.1,137,0.0,0.004478443052968105,0.0,0.0,0.0,0.0,0.0
35343,H33271,H,302.4,311.2,90.0,1506,40.8,204,0.0,0.01229521621512616,0.0,0.0,0.0,0.0,0.0
35344,L53041,L,301.3,311.0,90.0,1554,47.7,84,0.0,0.0036357851204101366,0.0,0.0,0.0,0.0,0.0
35345,M18005,M,300.5,310.0,90.0,1415,43.5,98,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35346,M18165,M,301.3,310.4,90.0,1577,48.3,78,0.0,0.0034592756352706503,0.0,0.0,0.0,0.0,0.0
35347,L50186,L,300.4,309.7,90.0,1488,35.7,177,0.0,0.003754321702472268,0.0,0.0,0.0,0.0,0.0
35348,L56181,L,297.0,307.8,90.0,1500,39.9,175,0.0,0.003152875417304667,0.0,0.0,0.0,0.0,0.0
35349,L54950,L,300.3,311.5,90.0,1548,32.2,25,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35350,L54618,L,299.9,311.3,90.0,1647,27.5,26,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35351,L55122,L,300.8,311.7,90.0,1432,45.8,6,0.0,0.0032260579868464336,0.0,0.0,0.0,0.0,0.0
35352,M24098,M,298.2,308.8,90.0,1456,41.2,150,0.0,0.003152875417304667,0.0,0.0,0.0,0.0,0.0
35353,L48236,L,296.8,307.8,90.0,1565,39.5,124,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35354,L50334,L,300.4,309.7,90.0,1534,42.5,127,0.0,0.0032289154749246124,0.0,0.0,0.0,0.0,0.0
35355,L50967,L,302.3,310.8,90.0,1377,47.3,22,1.0,0.5297168978075066,0.0,0.0,0.0,0.0,0.0
35356,L56369,L,297.9,309.1,90.0,1595,32.0,32,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35357,M22685,M,299.9,311.2,90.0,1579,35.5,162,0.0,0.0032289154749246124,0.0,0.0,0.0,0.0,0.0
35358,L54719,L,300.2,311.3,90.0,1487,36.9,71,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35359,L54411,L,299.8,309.9,90.0,1553,36.6,157,0.0,0.0032289154749246124,0.0,0.0,0.0,0.0,0.0
35360,L47944,L,296.8,307.9,90.0,1337,56.5,5,0.0,0.015303478820709428,0.0,0.0,0.0,0.0,0.0
35361,M19879,M,304.0,313.1,90.0,1466,39.5,83,0.0,0.0026271053778877925,0.0,0.0,0.0,0.0,0.0
35362,L52083,L,303.6,312.4,90.0,2232,16.8,0,0.0,0.0026271053778877925,0.0,0.0,0.0,0.0,0.0
35363,L55273,L,300.2,311.6,90.0,1511,35.7,160,0.0,0.0032289154749246124,0.0,0.0,0.0,0.0,0.0
35364,L54023,L,301.3,311.3,90.0,1509,42.5,213,0.0,0.024285779781575412,0.0,0.0,0.0,0.0,0.0
35365,L49345,L,299.5,309.1,90.0,1476,47.8,223,0.0,0.13990882579379665,0.0,0.0,0.0,0.0,0.0
35366,L49042,L,297.9,307.7,90.0,1517,44.4,67,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35367,M22710,M,300.3,311.7,90.0,1447,36.8,0,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35368,L56303,L,297.4,308.5,90.0,1462,42.8,68,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35369,L49520,L,299.1,308.1,90.0,1479,40.7,10,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35370,M20387,M,302.5,311.9,90.0,1532,38.8,96,0.0,0.002786053536321481,0.0,0.0,0.0,0.0,0.0
35371,L53923,L,301.7,311.2,90.0,1418,38.0,166,0.0,0.003210241330559488,0.0,0.0,0.0,0.0,0.0
35372,L51183,L,302.1,311.2,90.0,1519,39.3,155,0.0,0.004541096328141592,0.0,0.0,0.0,0.0,0.0
35373,H30537,H,296.6,307.7,90.0,1386,62.3,100,1.0,0.8639606651442001,0.0,0.0,0.0,0.0,0.0
35374,L55889,L,297.1,308.5,90.0,1578,35.6,46,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35375,L51229,L,301.8,310.8,90.0,1505,41.2,33,0.0,0.0027399451359920108,0.0,0.0,0.0,0.0,0.0
35376,L54820,L,300.4,311.3,90.0,1608,35.1,114,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35377,L47945,L,296.9,308.0,90.0,1332,53.9,7,0.0,0.012980987683288342,0.0,0.0,0.0,0.0,0.0
35378,M17204,M,299.2,308.3,90.0,1755,26.4,19,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35379,L51251,L,301.9,310.6,90.0,1331,68.6,85,1.0,0.9366652211081286,0.0,0.0,0.0,0.0,0.0
35380,M22076,M,300.0,309.9,90.0,1651,28.1,114,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35381,L51396,L,301.9,310.7,90.0,1370,50.3,20,0.0,0.019142296282442108,0.0,0.0,0.0,0.0,0.0
35382,M22812,M,300.9,311.9,90.0,1480,40.9,28,0.0,0.0023963188827155796,0.0,0.0,0.0,0.0,0.0
35383,L53150,L,300.4,310.8,90.0,1520,37.6,151,0.0,0.0032289154749246124,0.0,0.0,0.0,0.0,0.0
35384,L50530,L,301.4,310.8,90.0,1285,62.6,183,0.0,0.3018708923126203,0.0,0.0,0.0,0.0,0.0
35385,L51875,L,303.3,311.6,90.0,1514,34.7,130,0.0,0.005597467566218413,0.0,0.0,0.0,0.0,0.0
35386,L50579,L,301.4,310.7,90.0,1605,34.2,94,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35387,L51261,L,302.0,310.4,90.0,1336,58.2,110,1.0,0.723450995501989,0.0,1.0,0.0,0.0,0.0
35388,M24009,M,297.5,308.6,90.0,1429,50.5,129,0.0,0.003293547743536485,0.0,0.0,0.0,0.0,0.0
35389,L48404,L,297.1,308.3,90.0,1763,25.7,139,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35390,L53472,L,301.0,310.4,90.0,1614,31.6,84,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35391,L50302,L,300.0,309.3,90.0,1473,46.0,35,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35392,L47690,L,297.5,309.3,87.02835491886702,1564,37.5,20,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35393,M20654,M,301.9,311.5,90.0,1492,40.8,150,0.0,0.0039304771389732165,0.0,0.0,0.0,0.0,0.0
35394,L55361,L,299.7,311.2,90.0,1835,23.7,183,0.0,0.003754321702472268,0.0,0.0,0.0,0.0,0.0
35395,H38831,H,298.1,308.4,90.0,1515,43.8,6,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35396,M14956,M,299.0,309.0,90.0,1575,35.3,47,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35397,L53861,L,301.4,310.7,90.0,1425,45.1,7,0.0,0.0032260579868464336,0.0,0.0,0.0,0.0,0.0
35398,H30926,H,298.0,308.7,90.0,1503,36.3,5,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35399,M23651,M,297.4,308.5,90.0,1412,45.5,49,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35400,L47299,L,298.7,308.5,90.0,1467,40.7,106,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35401,L54971,L,300.1,311.4,90.0,1418,47.7,73,0.0,0.0032260579868464336,0.0,0.0,0.0,0.0,0.0
35402,L53697,L,301.1,310.1,90.0,1540,36.6,28,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35403,L47213,L,298.9,309.3,90.0,1665,32.5,93,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35404,L55067,L,300.7,312.4,90.0,1590,37.9,98,0.0,0.002377553712123539,0.0,0.0,0.0,0.0,0.0
35405,M21690,M,301.0,310.9,90.0,1359,53.4,180,0.0,0.020388829936189262,0.0,0.0,0.0,0.0,0.0
35406,M20281,M,302.6,312.3,90.0,1566,36.6,46,0.0,0.0026271053778877925,0.0,0.0,0.0,0.0,0.0
35407,L48248,L,296.8,307.8,90.0,1394,47.7,155,0.0,0.0036307050601415013,0.0,0.0,0.0,0.0,0.0
35408,L48527,L,298.7,310.2,90.0,1717,27.3,26,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35409,L51927,L,303.3,311.2,90.0,1763,27.3,27,0.0,0.007020162755106656,0.0,0.0,0.0,0.0,0.0
35410,L53185,L,300.6,310.5,90.0,1570,38.3,14,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35411,L53219,L,300.6,310.9,90.0,1433,42.6,101,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35412,M18677,M,302.1,310.6,90.0,1421,52.0,95,0.0,0.01420553885014654,0.0,0.0,0.0,0.0,0.0
35413,L55626,L,298.5,309.9,90.0,1482,42.1,15,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35414,L52449,L,303.5,312.9,90.0,1504,44.8,111,0.0,0.003276297441247534,0.0,0.0,0.0,0.0,0.0
35415,L54077,L,301.0,311.6,90.0,1352,63.5,143,0.0,0.4885157709002901,0.0,0.0,0.0,0.0,0.0
35416,M20169,M,303.9,313.2,90.0,1422,48.0,215,0.0,0.04980671460163765,0.0,0.0,0.0,0.0,0.0
35417,L47211,L,299.0,309.4,90.0,1798,25.5,89,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35418,M20534,M,302.2,311.7,90.0,1393,42.5,53,0.0,0.004523088429343558,0.0,0.0,0.0,0.0,0.0
35419,L51566,L,301.9,309.7,90.0,1719,31.9,0,0.0,0.005982557379591709,0.0,0.0,0.0,0.0,0.0
35420,L47209,L,299.0,309.4,90.0,1693,30.1,84,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35421,L51382,L,302.4,311.0,90.0,1555,40.6,205,0.0,0.104090227117853,0.0,0.0,0.0,0.0,0.0
35422,L54687,L,300.5,311.9,90.0,1750,28.3,207,0.0,0.008369217022849651,0.0,0.0,0.0,0.0,0.0
35423,L47915,L,296.9,308.4,90.0,1557,32.4,173,0.0,0.003152875417304667,0.0,0.0,0.0,0.0,0.0
35424,L49247,L,299.7,309.6,90.0,1553,36.8,174,0.0,0.0032289154749246124,0.0,0.0,0.0,0.0,0.0
35425,L47286,L,298.8,308.7,90.0,1445,48.5,70,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35426,L56824,L,299.3,310.4,90.0,1629,32.6,177,0.0,0.003754321702472268,0.0,0.0,0.0,0.0,0.0
35427,M23754,M,297.5,308.7,90.0,1546,38.0,123,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35428,H37434,H,300.9,312.0,90.0,1720,27.9,202,0.0,0.005515127929751913,0.0,0.0,0.0,0.0,0.0
35429,L49412,L,299.5,308.6,90.0,1672,30.5,177,0.0,0.0036659539813438872,0.0,0.0,0.0,0.0,0.0
35430,M15853,M,296.1,307.1,90.0,1485,36.0,169,0.0,0.003152875417304667,0.0,0.0,0.0,0.0,0.0
35431,L56592,L,298.0,308.5,90.0,1702,26.7,203,0.0,0.007251268591994752,0.0,0.0,0.0,0.0,0.0
35432,L54238,L,300.7,310.6,90.0,1520,45.9,146,0.0,0.0037794765017349764,0.0,0.0,0.0,0.0,0.0
35433,M21649,M,301.1,310.5,90.0,1646,30.7,76,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35434,M15220,M,297.5,308.3,90.0,1521,38.2,74,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35435,L47484,L,297.8,308.4,90.0,1737,27.5,146,0.0,0.003152875417304667,0.0,0.0,0.0,0.0,0.0
35436,M17487,M,299.8,309.6,90.0,1346,53.2,95,0.0,0.014139541492326163,0.0,0.0,0.0,0.0,0.0
35437,L56145,L,297.1,307.9,90.0,1496,44.7,88,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35438,L51693,L,302.4,310.3,90.0,1900,24.4,113,0.0,0.007020162755106656,0.0,0.0,0.0,0.0,0.0
35439,M20770,M,300.8,310.3,90.0,1458,43.4,0,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35440,M23173,M,298.8,310.0,90.0,1484,44.9,80,0.0,0.0032260579868464336,0.0,0.0,0.0,0.0,0.0
35441,L50280,L,299.8,309.1,90.0,1578,42.1,191,0.0,0.004846097304321053,0.0,0.0,0.0,0.0,0.0
35442,H35117,H,302.3,311.7,90.0,1456,45.4,130,0.0,0.005660576215500851,0.0,0.0,0.0,0.0,0.0
35443,M18758,M,302.1,311.1,90.0,1423,36.8,80,0.0,0.0038765898483593885,0.0,0.0,0.0,0.0,0.0
35444,H34854,H,303.0,312.5,90.0,1698,30.0,89,0.0,0.0026271053778877925,0.0,0.0,0.0,0.0,0.0
35445,L55110,L,300.6,311.6,90.0,1455,48.0,203,0.0,0.0198712494763457,0.0,0.0,0.0,0.0,0.0
35446,L47801,L,298.3,310.1,90.0,1408,45.3,78,0.0,0.0032260579868464336,0.0,0.0,0.0,0.0,0.0
35447,L54415,L,299.8,310.0,90.0,1361,53.8,167,0.0,0.026010805956358796,0.0,0.0,0.0,0.0,0.0
35448,L49678,L,299.1,308.9,90.0,1467,47.2,218,0.0,0.04452080251317008,0.0,0.0,0.0,0.0,0.0
35449,L47893,L,297.4,308.6,90.0,1439,46.4,114,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35450,L55583,L,298.5,309.6,90.0,1462,45.1,115,0.0,0.0028789022756849124,0.0,0.0,0.0,0.0,0.0
35451,L50035,L,300.5,309.3,90.0,1528,37.0,221,0.0,0.0918342493738664,0.0,0.0,0.0,0.0,0.0
35452,L51449,L,302.6,311.0,90.0,1610,39.2,152,0.0,0.006976168161856361,0.0,0.0,0.0,0.0,0.0
35453,L50088,L,300.7,309.5,90.0,1251,59.9,120,0.0,0.018206845209844877,0.0,0.0,0.0,0.0,0.0
35454,H37494,H,300.2,311.5,90.0,1432,43.6,127,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35455,L51696,L,302.5,310.3,90.0,1539,39.0,119,0.0,0.007020162755106656,0.0,0.0,0.0,0.0,0.0
35456,H30675,H,297.6,309.0,90.0,1885,25.2,24,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35457,M18020,M,300.4,309.7,90.0,1367,51.2,143,0.0,0.014709805416621723,0.0,0.0,0.0,0.0,0.0
35458,L48150,L,295.8,306.5,90.0,1568,35.1,111,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35459,L51092,L,302.4,311.4,90.0,1475,40.4,126,0.0,0.0038765898483593885,0.0,0.0,0.0,0.0,0.0
35460,L52378,L,303.8,312.8,90.0,1428,53.3,152,0.0,0.00508899384187847,0.0,0.0,0.0,0.0,0.0
35461,M23706,M,297.4,308.8,90.0,1325,62.4,204,1.0,0.6880049082788121,0.0,0.0,0.0,0.0,0.0
35462,M15119,M,298.1,308.2,90.0,1420,63.9,19,1.0,0.650831455307774,0.0,0.0,0.0,0.0,0.0
35463,L50970,L,302.3,310.9,90.0,1412,48.9,28,0.0,0.00746583072059313,0.0,0.0,0.0,0.0,0.0
35464,L56382,L,297.8,308.8,90.0,1548,36.9,64,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35465,M15347,M,297.4,309.1,90.0,1463,35.0,183,0.0,0.0036659539813438872,0.0,0.0,0.0,0.0,0.0
35466,L55087,L,300.8,312.3,90.0,1858,26.3,144,0.0,0.002785821215047377,0.0,0.0,0.0,0.0,0.0
35467,L47698,L,297.6,309.5,90.0,1924,20.6,37,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35468,L55522,L,298.7,309.7,90.0,1510,40.6,162,0.0,0.0032289154749246124,0.0,0.0,0.0,0.0,0.0
35469,M15171,M,298.0,308.6,90.0,1453,44.1,165,0.0,0.003293547743536485,0.0,0.0,0.0,0.0,0.0
35470,L50411,L,300.7,309.3,90.0,1425,45.3,100,0.0,0.002777784444210818,0.0,0.0,0.0,0.0,0.0
35471,L55112,L,300.7,311.8,90.0,1478,41.9,207,0.0,0.015442945170820312,0.0,0.0,0.0,0.0,0.0
35472,L54637,L,300.1,311.6,90.0,1530,36.6,74,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35473,H39197,H,298.8,309.9,90.0,1466,44.6,66,0.0,0.0032260579868464336,0.0,0.0,0.0,0.0,0.0
35474,M20043,M,303.9,313.0,90.0,1901,22.5,110,0.0,0.0026271053778877925,0.0,0.0,0.0,0.0,0.0
